timestamp,city,temperature,description
2026-08-25T10:48:41.714Z,Oslo,22.53,few clouds
2026-08-25T10:56:43.231Z,Oslo,21.42,few clouds
2026-08-25T11:00:10.096Z,Oslo,21.42,few clouds
2026-08-25T13:06:03.057Z,Oslo,21.98,clear sky
2026-08-25T14:13:36.309Z,Oslo,24.75,scattered clouds
2026-08-25T14:25:43.346Z,Oslo,24.75,scattered clouds
2026-08-25T14:54:10.256Z,Oslo,24.2,scattered clouds
2026-08-25T16:38:08.710Z,Oslo,24.75,scattered clouds
2026-08-25T18:39:43.378Z,Oslo,18.09,broken clouds
2026-08-25T20:29:23.801Z,Oslo,15.31,broken clouds
2026-08-25T22:27:55.395Z,Oslo,13.09,broken clouds
2026-08-26T01:19:52.132Z,Oslo,11.42,broken clouds
2026-08-26T03:05:40.358Z,Oslo,11.07,overcast clouds
2026-08-26T04:40:00.624Z,Oslo,9.96,overcast clouds
2026-08-26T06:51:01.380Z,Oslo,19.75,broken clouds
2026-08-26T08:43:50.503Z,Oslo,21.42,broken clouds
2026-08-26T10:36:05.968Z,Oslo,23.09,broken clouds
2026-08-26T12:53:02.372Z,Oslo,24.75,broken clouds
2026-08-26T14:44:55.484Z,Oslo,24.75,overcast clouds
2026-08-26T16:48:44.393Z,Oslo,23.64,overcast clouds
2026-08-26T19:49:53.624Z,Oslo,16.98,broken clouds
2026-08-26T22:48:08.891Z,Oslo,14.97,overcast clouds
